title,description,target_class,related_careers
Class 10 Board Exams,"Important exam that determines eligibility for higher secondary streams.",10,Software Engineer|Doctor|Pilot|Data Scientist|Chartered Accountant
Choose Stream (Science/Commerce/Arts),"Decide the academic path for higher secondary studies.",10,Software Engineer|Doctor|Pilot|Lawyer|Psychologist
NTSE Scholarship Exam,"Competitive exam for Class 10 students to earn scholarships.",10,Scientist|Engineer|Data Scientist
Class 11 Preparation,"Build foundational knowledge in chosen subjects for Class 12 and entrance exams.",11,Software Engineer|Doctor|Data Scientist
Olympiad Participation,"Compete in national and international Olympiads to strengthen subject expertise.",11,Software Engineer|Data Scientist|Mathematician|Scientist
Early Coding Practice,"Learn basic programming languages like Python or Java in school.",11,Software Engineer|Data Scientist
School Science Fair,"Present projects to build confidence in scientific research.",11,Scientist|Engineer
Class 12 Board Exams,"Crucial for meeting the eligibility criteria for all major entrance exams and colleges.",12,Software Engineer|Doctor|Data Scientist
JEE Main Entrance Exam,"The primary national-level entrance exam for admission to undergraduate engineering programs.",12,Software Engineer
JEE Advanced Entrance Exam,"Required for admission to IITs for engineering degrees.",12,Software Engineer
NEET-UG Entrance Exam,"The sole entrance examination for students who wish to study any undergraduate medical courses in India.",12,Doctor
NDA Entrance Exam,"National exam for joining Indian Armed Forces as an officer.",12,Pilot|Defense Officer
CLAT Entrance Exam,"Entrance exam for admission to National Law Universities in India.",12,Lawyer
CA Foundation Exam,"Entry-level exam for becoming a Chartered Accountant.",12,Chartered Accountant
SAT Exam,"Standardized test required for admission to many international universities.",12,Software Engineer|Doctor|Business Analyst
IELTS/TOEFL,"English proficiency tests for studying abroad.",12,Software Engineer|Doctor|Pilot|Business Analyst
Polytechnic Entrance Exam,"For diploma courses in engineering after Class 10 or 12.",12,Engineer
Build a Portfolio,"Create a collection of personal projects to showcase your skills to employers.",13,Software Engineer|Data Scientist|UI/UX Designer
Internship During College,"Gain practical exposure and industry experience during college.",13,Software Engineer|Doctor|Data Scientist|UI/UX Designer|Pilot
Hackathon Participation,"Take part in coding competitions to build teamwork and technical skills.",13,Software Engineer|Data Scientist
College Cultural/Technical Fests,"Showcase talents, leadership, and teamwork during college fests.",13,Software Engineer|UI/UX Designer|Journalist
Club/Community Participation,"Join clubs like robotics, debate, or arts to build extracurricular skills.",13,Engineer|Lawyer|Artist
Soft Skills Workshop,"Attend sessions on communication, leadership, and time management.",13,Business Analyst|Entrepreneur|Manager
Publish Research Paper,"Write and publish research papers to strengthen academic credentials.",14,Doctor|Scientist|Data Scientist
Build GitHub Profile,"Showcase your coding projects and contributions on GitHub.",14,Software Engineer|Data Scientist
Summer Internship,"Work in companies during vacations to learn practical industry exposure.",14,Software Engineer|Business Analyst|UI/UX Designer
GRE Entrance Exam,"Required for pursuing postgraduate education abroad.",15,Software Engineer|Data Scientist|Scientist
GATE Entrance Exam,"National-level exam for M.Tech and PSU jobs.",15,Software Engineer
CAT Entrance Exam,"Entrance exam for MBA programs in top management institutes.",15,Business Analyst|Entrepreneur|Manager
UPSC Civil Services Exam,"One of the toughest exams in India for IAS, IPS, IFS positions.",15,Civil Servant|Policy Maker
USMLE Step 1,"Licensing exam for practicing medicine in the USA.",15,Doctor
Commercial Pilot License Training,"Specialized training to obtain a CPL and become a pilot.",15,Pilot
CFA Level 1 Exam,"Entry-level Chartered Financial Analyst exam for finance professionals.",15,Investment Banker|Financial Analyst
NIFT Entrance Exam,"Design entrance exam for pursuing a career in fashion.",15,Fashion Designer
NID Entrance Exam,"Design entrance exam for pursuing product or industrial design.",15,Product Designer
Campus Placements,"Placement drives conducted by companies in colleges for hiring fresh graduates.",16,Software Engineer|Data Scientist|UI/UX Designer|Business Analyst
Startup/Entrepreneurship Initiative,"Begin your own business or startup journey after college.",16,Entrepreneur|Software Engineer|Business Analyst
PhD Application,"Apply for doctoral studies in chosen specialization.",16,Scientist|Professor|Researcher
International Internship,"Work abroad for exposure to international work culture.",16,Software Engineer|Data Scientist|Business Analyst
MBA Admission,"Pursue MBA for managerial and leadership roles.",16,Manager|Entrepreneur|Business Analyst
Bar Council Exam,"Qualifying exam for practicing law in India.",16,Lawyer
Residency Training,"Mandatory practical training for doctors after MBBS.",16,Doctor
Airline Training,"Join airline-specific training programs for pilots.",16,Pilot
Stock Market Certification,"Learn trading, analysis, and investment strategies.",16,Investment Banker|Financial Analyst
Digital Marketing Certification,"Develop skills in SEO, SEM, and social media marketing.",16,Marketing Manager|Entrepreneur
PMP Certification,"Project Management certification for professionals.",17,Project Manager
AWS Cloud Certification,"Validate expertise in cloud platforms and solutions.",17,Software Engineer|Cloud Engineer
Cybersecurity Certification,"Specialize in securing networks, systems, and data.",17,Security Analyst|Software Engineer
